id,text,true_label,detector,score
1,"We don't actually know what color dinosaurs like T. rexes were for sure, because we only have bones to study. Scientists can make some guesses about what color dinosaurs might have been based on things like the colors of modern animals that are similar to dinosaurs in some way, or based on patterns in the way that color shows up in fossilized bones. But these are just guesses, and they could be wrong. That's why we say that we don't know for sure what color dinosaurs were.",ai,0.0
2,"A ship of the line was a type of warship that was used in the past by navies all around the world. It was a large, heavy ship that was built for fighting in battles at sea. The ship of the line was usually the largest and most powerful ship in a navy's fleet, and it was used to lead the other ships into battle.

One of the things that made a ship of the line different from other ships is that it had a lot of guns mounted on its sides. These guns were used to fire at other ships and try to sink them during naval battles. The ship of the line also had a lot of armor to protect it from enemy fire.

Another thing that made a ship of the line different is that it was very slow and difficult to maneuver. This made it hard for the ship to change direction quickly, but it also made it very sturdy and able to withstand a lot of damage.

Overall, a ship of the line was a very important and powerful warship that was used to protect a country's naval interests and defend it from its enemies.",ai,1.0
3,"There are many complex factors that have contributed to conflicts, corruption, and other challenges on the African continent. Here are a few possible reasons:

Colonization and the legacy of colonialism: Many African countries were colonized by European powers, which often imposed their own systems and governments on the countries they conquered. This often led to the exploitation of natural resources and the suppression of local cultures and traditions. The legacy of colonialism has had a lasting impact on African countries, and many have struggled to build strong, stable governments in the post-colonial era.

Poverty and economic inequality: Many African countries have high levels of poverty and economic inequality, which can lead to conflict and unrest. When people are struggling to meet their basic needs, they may be more likely to turn to violence or other forms of conflict as a means of survival.

Ethnic and religious differences: Some African countries have a history of ethnic and religious tensions, which can lead to conflict. When different groups within a country do not get along or feel that they are being treated unfairly, this can lead to violence and unrest.

Weak governments and corruption: In some African countries, the government may be weak or ineffective, which can lead to corruption and other problems. When the government is not able to effectively provide basic services or protect the rights of its citizens, this can create an environment in which conflict is more likely to occur.

Natural disasters and environmental challenges: African countries also face a number of natural disasters and environmental challenges, such as drought, famine, and disease outbreaks, which can contribute to conflict and instability.

These are just a few of the many complex factors that have contributed to the challenges facing the African continent. It's important to remember that every country is different, and each has its own unique set of challenges and opportunities.",ai,0.38
4,"Elijah McCoy (1844-1929) was an African American inventor who is best known for his work on lubrication systems for steam engines. He developed a number of inventions related to lubrication, including a device that would automatically lubricate the moving parts of a steam engine while it was in operation. This device, known as the "lubricator cup," was patented in 1872 and became very popular with railroads and other industries that used steam engines. It allowed the engines to run more efficiently and reduced the need for frequent shutdowns to lubricate the moving parts manually. Elijah McCoy was granted a total of 57 patents during his lifetime, many of which related to lubrication and other mechanical innovations.",ai,0.81
5,"It's true that China is a major player in the global market for manufactured goods, including cars and cellphones. However, it is not accurate to say that China routinely copies products without getting in trouble or infringing on patents.

In fact, there are laws in place that protect intellectual property, including patents, trademarks, and copyrights. These laws apply to companies and individuals in China, just as they do in other countries. If a company in China were to copy a product without permission, they could be sued for infringing on the patents or other intellectual property rights of the original manufacturer.

The World Trade Organization (WTO) is an international organization that helps to regulate international trade. One of the ways it does this is by establishing rules for how countries should protect intellectual property. These rules are designed to ensure that companies and individuals who create new products or inventions are able to benefit from their work, and to encourage innovation.

So, while China is a major player in the global market for manufactured goods, it is not accurate to say that they are able to freely copy products without consequences. Instead, China, like other countries, has laws in place to protect intellectual property and follows international rules established by the WTO to ensure fair competition in the global market.",ai,0.05
6,"This is going to be pretty similar to what Menolith said , but it comes down to the brain . Human hearts can be stopped and started , organs can fail and be replaced , but the brain is the big one . If a heart stops beating , no fresh blood gets to the brain , which means no oxygen . After so long without oxygen , brain cells start to freak out , and die . When a person has a certain type of stroke , starving their brain of oxygen , those brains cells will self - destruct as well ( after doing this weird thing where they start firing like crazy first ... ) . Similarly , lots of illness and organ failures , etc , will kill a person by depriving them of oxygen or brain function , in a weird way . Pneumonia , toxins poisoning the blood , anything that causes cardia arrest , massive organ failure , etc .... eventually , the brain stops working . Now , as to why we ca n't revive it : those brain cells die . It 's not a matter of turning on a switch and lighting the brain back up ( like we can sort of do with a heart ) . It 's that what we would want to turn on and light back up is n't there anymore . Think of a tree 's leaf -- in the autumn , it shrivels and falls . If brain cells are like leaves , then when they shrivel and fall , putting more water on the tree wo n't bring those leaves back . The difference is that trees can grow more leaves -- we ca n't grow new brain cells . Please let me know if I can make it more clear :) I can try to find some sources to back up some of the information if you want too .",human,0.0
7,"All life forms we know today , has the need of water . It is used as a means of transporting other essentials to every part of an organism . Water is a simple matter , consisting of only 3 small atoms : hydrogen and oxygen . And it is also chemically neutral . It does n't react with other matter ( under normal circumstances ) . Yet it still has dissolving properties that allows it to contain other elements and still be a liquid . That 's about the nutshell of it .",human,0.0
8,"Hello and Welcome to ‘Ask A Doctor’ service. I have reviewed your query and here is my advice. I would explain that the numbness on your left leg does not seem to be related to any cardiac disorders. It could be related to a pinched nerve or partial epilepsy seizures. For this reason, I would recommend consulting with a neurologist for a physical exam and some tests:- a resting ECG- a lumbar spine X-ray study for possible bulging disc in this region- nerve conduction studies. If suspicions of seizures are raised, an EEG may be needed. You should discuss with your doctor on the above tests. Hope to have been helpful! Kind regards, Dr. Iliri",human,0.0
9,"Because light is massless . As an analogy for this , get yourself some rocks . Get a big rock you can barely push across the ground , one you can barely carry , one you can heft , and then a pebble . How much energy would it take for you to get each of these moving at ten mph without any tools ? The big rock would be mostly impossible . The one you can carry might be doable briefly , if you ran with it . The rock you can heft you can either Chuck to hit that speed or run with , and the pebble you can throw . What you 're seeing here is that as you reduce mass , things get easier to move . Well light has no mass , so it is essentially the easiest to move . This is a very simplified version of things , obviously .",human,0.0
10,"Imagine a 2D Printer ( Ink on paper ) , Now imagine it doing that hundreds of times going up one layer at a time . But instead of printing Ink on paper it can either melt the plastic underneath it , or print a thin strand of ABS plastic . The implications of printing guns is that the serial numbers that normal gun manufacturers print on the guns and register into the system does n't need to be done via the printing company doing the gun because it is just an agreement with Police / Government and the gun Company . So there is the fact that you can have untraceable guns and also the fact that you can do it at home , buy a few rounds and then shoot wherever and the police would only know you bought rounds . Many implications but those are the first few .",human,0.0
